League,HT_Score,Matches,Percentage
Argentina - Liga Profesional,0 - 0,96,40%
Argentina - Liga Profesional,1 - 0,55,23%
Argentina - Liga Profesional,0 - 1,35,15%
Argentina - Liga Profesional,1 - 1,23,10%
Argentina - Liga Profesional,2 - 0,11,5%
Argentina - Liga Profesional,0 - 2,9,4%
Argentina - Liga Profesional,1 - 2,3,1%
Argentina - Liga Profesional,4 - 0,3,1%
Argentina - Liga Profesional,0 - 3,1,0%
Argentina - Liga Profesional,2 - 2,1,0%
Argentina - Liga Profesional,3 - 1,1,0%
Argentina - Liga Profesional,2 - 1,1,0%
Argentina - Liga Profesional,3 - 0,1,0%
Argentina - Primera B,0 - 0,95,45%
Argentina - Primera B,1 - 0,44,21%
Argentina - Primera B,0 - 1,29,14%
Argentina - Primera B,1 - 1,12,6%
Argentina - Primera B,2 - 0,12,6%
Argentina - Primera B,0 - 2,6,3%
Argentina - Primera B,2 - 1,6,3%
Argentina - Primera B,3 - 1,2,1%
Argentina - Primera B,3 - 0,2,1%
Argentina - Primera B,3 - 2,1,0%
Argentina - Primera B,1 - 2,1,0%
Armenia - Premier League,0 - 0,8,53%
Armenia - Premier League,1 - 0,3,20%
Armenia - Premier League,0 - 1,2,13%
Armenia - Premier League,2 - 0,2,13%
Australia - A-League,0 - 0,42,25%
Australia - A-League,1 - 0,31,18%
Australia - A-League,0 - 1,21,12%
Australia - A-League,1 - 1,19,11%
Australia - A-League,2 - 1,16,9%
Australia - A-League,0 - 2,8,5%
Australia - A-League,2 - 0,8,5%
Australia - A-League,1 - 2,7,4%
Australia - A-League,1 - 3,4,2%
Australia - A-League,0 - 3,4,2%
Australia - A-League,2 - 2,3,2%
Australia - A-League,3 - 0,3,2%
Australia - A-League,5 - 0,1,1%
Australia - A-League,0 - 4,1,1%
Australia - A-League,3 - 2,1,1%
Austria - Bundesliga,0 - 0,5,22%
Austria - Bundesliga,1 - 1,4,17%
Austria - Bundesliga,0 - 1,4,17%
Austria - Bundesliga,0 - 2,3,13%
Austria - Bundesliga,2 - 0,3,13%
Austria - Bundesliga,1 - 0,2,9%
Austria - Bundesliga,1 - 3,1,4%
Austria - Bundesliga,2 - 2,1,4%
Austria - 2. Liga,0 - 0,10,31%
Austria - 2. Liga,0 - 1,6,19%
Austria - 2. Liga,0 - 3,3,9%
Austria - 2. Liga,0 - 2,3,9%
Austria - 2. Liga,2 - 0,3,9%
Austria - 2. Liga,1 - 1,2,6%
Austria - 2. Liga,1 - 0,2,6%
Austria - 2. Liga,1 - 3,1,3%
Austria - 2. Liga,4 - 2,1,3%
Austria - 2. Liga,2 - 1,1,3%
Belgium - First Division A,0 - 0,11,30%
Belgium - First Division A,1 - 0,10,27%
Belgium - First Division A,0 - 1,5,14%
Belgium - First Division A,1 - 1,4,11%
Belgium - First Division A,2 - 0,2,5%
Belgium - First Division A,0 - 3,1,3%
Belgium - First Division A,1 - 2,1,3%
Belgium - First Division A,0 - 2,1,3%
Belgium - First Division A,2 - 1,1,3%
Belgium - First Division A,3 - 0,1,3%
Bolivia - Primera Div. - Apertura,1 - 0,30,21%
Bolivia - Primera Div. - Apertura,0 - 0,30,21%
Bolivia - Primera Div. - Apertura,0 - 1,21,15%
Bolivia - Primera Div. - Apertura,2 - 0,16,11%
Bolivia - Primera Div. - Apertura,1 - 1,14,10%
Bolivia - Primera Div. - Apertura,2 - 1,9,6%
Bolivia - Primera Div. - Apertura,1 - 2,5,3%
Bolivia - Primera Div. - Apertura,3 - 1,5,3%
Bolivia - Primera Div. - Apertura,3 - 0,5,3%
