League_Name,Team_Away,GP,Avg,0.5+,1.5+,2.5+,3.5+,4.5+,5.5+,BTS,CS,FTS,WTN,LTN
Argentina - Liga Profesional,Central Cordoba,7.0,3.29,100%,71%,71%,43%,29%,14%,71%,0%,29%,0%,29%
Argentina - Liga Profesional,Defensa y J.,9.0,3.0,100%,78%,44%,44%,33%,0%,44%,33%,22%,33%,22%
Argentina - Liga Profesional,Racing Club,9.0,2.56,100%,78%,44%,22%,11%,0%,56%,22%,22%,22%,22%
Argentina - Liga Profesional,Velez Sarsfield,8.0,2.5,88%,75%,62%,12%,12%,0%,38%,25%,50%,12%,38%
Argentina - Liga Profesional,Estudiantes,9.0,2.44,89%,78%,44%,33%,0%,0%,44%,22%,44%,11%,33%
Argentina - Liga Profesional,Instituto,9.0,2.44,89%,67%,44%,22%,22%,0%,33%,11%,67%,0%,56%
Argentina - Liga Profesional,Aldosivi,8.0,2.38,100%,62%,38%,12%,12%,12%,25%,25%,50%,25%,50%
Argentina - Liga Profesional,Boca Juniors,8.0,2.38,100%,88%,38%,12%,0%,0%,50%,25%,25%,25%,25%
Argentina - Liga Profesional,Banfield,8.0,2.25,100%,50%,38%,25%,12%,0%,50%,12%,38%,12%,38%
Argentina - Liga Profesional,Godoy Cruz,8.0,2.25,88%,75%,50%,12%,0%,0%,25%,25%,62%,12%,50%
Argentina - Liga Profesional,Sarmiento,8.0,2.25,88%,62%,38%,25%,12%,0%,38%,25%,50%,12%,38%
Argentina - Liga Profesional,Belgrano,8.0,2.13,75%,62%,38%,38%,0%,0%,38%,38%,50%,12%,25%
Argentina - Liga Profesional,Independiente,8.0,2.13,88%,75%,25%,12%,12%,0%,50%,12%,50%,0%,38%
Argentina - Liga Profesional,Newells,8.0,2.13,100%,88%,25%,0%,0%,0%,38%,12%,50%,12%,50%
Argentina - Liga Profesional,Tigre,8.0,2.13,88%,62%,38%,12%,12%,0%,38%,25%,50%,12%,38%
Argentina - Liga Profesional,Union Santa Fe,7.0,2.0,86%,57%,43%,14%,0%,0%,43%,14%,57%,0%,43%
Argentina - Liga Profesional,A. Tucuman,8.0,1.88,100%,50%,25%,12%,0%,0%,38%,12%,50%,12%,50%
Argentina - Liga Profesional,Barracas C.,8.0,1.88,88%,62%,25%,12%,0%,0%,50%,25%,38%,12%,25%
Argentina - Liga Profesional,Huracan,8.0,1.88,88%,75%,25%,0%,0%,0%,50%,38%,25%,25%,12%
Argentina - Liga Profesional,I. Rivadavia,8.0,1.88,88%,75%,25%,0%,0%,0%,38%,38%,38%,25%,25%
Argentina - Liga Profesional,Argentinos Jrs,7.0,1.86,71%,57%,29%,14%,14%,0%,57%,43%,29%,14%,0%
Argentina - Liga Profesional,D. Riestra,8.0,1.75,75%,62%,38%,0%,0%,0%,25%,62%,38%,38%,12%
Argentina - Liga Profesional,Gimnasia,8.0,1.63,88%,50%,25%,0%,0%,0%,12%,25%,75%,12%,62%
Argentina - Liga Profesional,Platense,8.0,1.5,100%,38%,12%,0%,0%,0%,25%,38%,38%,38%,38%
Argentina - Liga Profesional,Rosario Central,9.0,1.33,56%,33%,33%,11%,0%,0%,22%,67%,56%,22%,11%
Argentina - Liga Profesional,River Plate,7.0,1.29,57%,57%,14%,0%,0%,0%,29%,71%,43%,29%,0%
Argentina - Liga Profesional,Lanus,8.0,1.25,75%,38%,12%,0%,0%,0%,38%,38%,50%,12%,25%
Argentina - Liga Profesional,SM San Juan,7.0,1.14,86%,29%,0%,0%,0%,0%,14%,14%,86%,0%,71%
Argentina - Liga Profesional,T. de Cordoba,8.0,1.13,62%,38%,12%,0%,0%,0%,38%,50%,50%,12%,12%
Argentina - Liga Profesional,San Lorenzo,8.0,1.0,62%,38%,0%,0%,0%,0%,12%,75%,50%,38%,12%
Argentina - Liga Profesional,,,,,,,,,,,,,,
Argentina - Liga Profesional,League average,,,85.8%,61.3%,32.1%,13.3%,6.3%,0.8%,37.5%,30.8%,45.8%,16.7%,31.7%
Argentina - Primera Nacional,Arsenal Sarandi,13.0,2.85,100%,92%,54%,38%,0%,0%,62%,8%,31%,8%,31%
Argentina - Primera Nacional,Colon Santa Fe,13.0,2.69,100%,69%,46%,23%,15%,8%,46%,15%,38%,15%,38%
Argentina - Primera Nacional,Agropecuario,13.0,2.54,92%,77%,46%,15%,15%,8%,54%,15%,38%,8%,31%
Argentina - Primera Nacional,Almirante Brown,13.0,2.46,100%,69%,38%,15%,8%,8%,54%,8%,38%,8%,38%
