League_Name,Team,Scored,1st half,2nd half,Avg. minute
Argentina - Liga Profesional,Racing Club,26,38.5%,61.5%,55
Argentina - Liga Profesional,Argentinos Jrs,24,54.2%,45.8%,41
Argentina - Liga Profesional,Boca Juniors,24,45.8%,54.2%,48
Argentina - Liga Profesional,Independiente,23,52.2%,47.8%,46
Argentina - Liga Profesional,Rosario Central,22,50.0%,50.0%,44
Argentina - Liga Profesional,Central Cordoba,21,28.6%,71.4%,63
Argentina - Liga Profesional,River Plate,21,38.1%,61.9%,57
Argentina - Liga Profesional,Barracas C.,20,45.0%,55.0%,54
Argentina - Liga Profesional,I. Rivadavia,20,35.0%,65.0%,58
Argentina - Liga Profesional,Huracan,19,42.1%,57.9%,50
Argentina - Liga Profesional,Estudiantes,18,38.9%,61.1%,54
Argentina - Liga Profesional,Aldosivi,18,38.9%,61.1%,54
Argentina - Liga Profesional,Tigre,18,50.0%,50.0%,44
Argentina - Liga Profesional,Defensa y J.,18,38.9%,61.1%,51
Argentina - Liga Profesional,A. Tucuman,17,58.8%,41.2%,46
Argentina - Liga Profesional,Instituto,16,31.3%,68.8%,60
Argentina - Liga Profesional,San Lorenzo,14,28.6%,71.4%,64
Argentina - Liga Profesional,Banfield,14,50.0%,50.0%,46
Argentina - Liga Profesional,D. Riestra,13,38.5%,61.5%,55
Argentina - Liga Profesional,Platense,13,46.2%,53.8%,46
Argentina - Liga Profesional,Lanus,13,38.5%,61.5%,55
Argentina - Liga Profesional,Belgrano,13,53.8%,46.2%,42
Argentina - Liga Profesional,Newells,12,75.0%,25.0%,40
Argentina - Liga Profesional,Union Santa Fe,11,45.5%,54.5%,60
Argentina - Liga Profesional,T. de Cordoba,11,54.5%,45.5%,41
Argentina - Liga Profesional,Sarmiento,11,36.4%,63.6%,58
Argentina - Liga Profesional,Gimnasia,9,55.6%,44.4%,50
Argentina - Liga Profesional,Godoy Cruz,8,75.0%,25.0%,43
Argentina - Liga Profesional,Velez Sarsfield,7,42.9%,57.1%,49
Argentina - Liga Profesional,SM San Juan,5,40.0%,60.0%,49
Argentina - Primera Nacional,Chacarita J.,26,30.8%,69.2%,59
Argentina - Primera Nacional,Racing Cordoba,23,52.2%,47.8%,42
Argentina - Primera Nacional,Deportivo Moron,22,50.0%,50.0%,49
Argentina - Primera Nacional,Patronato,21,47.6%,52.4%,52
Argentina - Primera Nacional,Agropecuario,20,25.0%,75.0%,53
Argentina - Primera Nacional,Gimnasia Jujuy,20,50.0%,50.0%,48
Argentina - Primera Nacional,San Telmo,19,21.1%,78.9%,68
Argentina - Primera Nacional,Chaco For Ever,19,42.1%,57.9%,53
Argentina - Primera Nacional,G. Mendoza,19,47.4%,52.6%,45
Argentina - Primera Nacional,D. Madryn,18,55.6%,44.4%,48
Argentina - Primera Nacional,CA Estudiantes,18,38.9%,61.1%,53
Argentina - Primera Nacional,San Miguel,18,33.3%,66.7%,57
Argentina - Primera Nacional,E. Rio Cuarto,18,50.0%,50.0%,47
Argentina - Primera Nacional,Atlanta,17,17.6%,82.4%,62
Argentina - Primera Nacional,Deportivo Maipu,17,47.1%,52.9%,50
Argentina - Primera Nacional,SM Tucuman,17,47.1%,52.9%,49
Argentina - Primera Nacional,Los Andes,17,23.5%,76.5%,64
Argentina - Primera Nacional,Quilmes,17,35.3%,64.7%,58
Argentina - Primera Nacional,Gimnasia y Tiro,16,50.0%,50.0%,43
Argentina - Primera Nacional,Tristan Suarez,16,50.0%,50.0%,53
Argentina - Primera Nacional,Nueva Chicago,16,43.8%,56.3%,50
Argentina - Primera Nacional,Almagro,16,50.0%,50.0%,42
Argentina - Primera Nacional,Temperley,16,50.0%,50.0%,52
Argentina - Primera Nacional,Colon Santa Fe,15,40.0%,60.0%,54
Argentina - Primera Nacional,All Boys,15,33.3%,66.7%,47
Argentina - Primera Nacional,D. de Belgrano,14,50.0%,50.0%,46
Argentina - Primera Nacional,Almirante Brown,13,53.8%,46.2%,47
Argentina - Primera Nacional,Atletico Mitre,13,23.1%,76.9%,65
Argentina - Primera Nacional,Central Norte,13,46.2%,53.8%,53
Argentina - Primera Nacional,CA Guemes,13,46.2%,53.8%,50
Argentina - Primera Nacional,Ferro Carril,12,41.7%,58.3%,47
Argentina - Primera Nacional,Arsenal Sarandi,11,54.5%,45.5%,43
Argentina - Primera Nacional,Alvarado,11,36.4%,63.6%,48
Argentina - Primera Nacional,Defensores U.,7,42.9%,57.1%,58
Argentina - Primera Nacional,Colegiales,6,100.0%,0.0%,24
Argentina - Primera Nacional,T. Remedios,4,25.0%,75.0%,58
Argentina - Primera B,Dock Sud,29,51.7%,48.3%,47
Argentina - Primera B,Liniers,27,29.6%,70.4%,60
Argentina - Primera B,Real Pilar,27,37.0%,63.0%,55
Argentina - Primera B,Argentino Merlo,25,24.0%,76.0%,60
Argentina - Primera B,Acassuso,25,52.0%,48.0%,44
Argentina - Primera B,Midland,24,37.5%,62.5%,54
Argentina - Primera B,V. San Carlos,24,54.2%,45.8%,44
Argentina - Primera B,Excursionistas,21,57.1%,42.9%,44
Argentina - Primera B,A. Quilmes,21,38.1%,61.9%,54
Argentina - Primera B,D. Laferrere,21,38.1%,61.9%,55
Argentina - Primera B,Villa Dalmine,20,50.0%,50.0%,46
Argentina - Primera B,SM Burzaco,19,57.9%,42.1%,47
Argentina - Primera B,Comunicaciones,19,47.4%,52.6%,48
Argentina - Primera B,Brown de A.,18,33.3%,66.7%,61
Argentina - Primera B,D. Armenio,17,41.2%,58.8%,49
Argentina - Primera B,UAI Urquiza,16,25.0%,75.0%,53
Argentina - Primera B,Deportivo Merlo,16,37.5%,62.5%,52
Argentina - Primera B,S. Italiano,15,33.3%,66.7%,62
Argentina - Primera B,Sacachispas,13,46.2%,53.8%,51
Argentina - Primera B,Flandria,12,25.0%,75.0%,55
Argentina - Primera B,Fenix,8,50.0%,50.0%,44
Armenia - Premier League,Noah,4,50.0%,50.0%,58
Armenia - Premier League,Urartu,2,50.0%,50.0%,46
Armenia - Premier League,Pyunik,2,0.0%,100.0%,62
Armenia - Premier League,Van,1,0.0%,100.0%,47
Armenia - Premier League,Gandzasar,1,100.0%,0.0%,34
Armenia - Premier League,BKMA,1,0.0%,100.0%,67
Armenia - Premier League,Ararat Yerevan,1,0.0%,100.0%,68
Armenia - Premier League,Alashkert,1,100.0%,0.0%,41
Australia - A-League,WS Wanderers,58,48.3%,51.7%,47
Australia - A-League,Western United,55,47.3%,52.7%,48
Australia - A-League,Sydney FC,53,34.0%,66.0%,57
Australia - A-League,Adelaide Utd,53,49.1%,50.9%,45
Australia - A-League,Macarthur FC,50,46.0%,54.0%,48
Australia - A-League,Auckland,49,44.9%,55.1%,56
Australia - A-League,Melbourne V.,44,50.0%,50.0%,47
Australia - A-League,Newcastle Jets,43,37.2%,62.8%,51
Australia - A-League,Melbourne City,41,48.8%,51.2%,47
Australia - A-League,Brisbane Roar,32,53.1%,46.9%,44
Australia - A-League,Central Coast,29,41.4%,58.6%,50
Australia - A-League,Wellington,27,48.1%,51.9%,48
Australia - A-League,Perth Glory,22,50.0%,50.0%,45
Austria - Bundesliga,Tirol,7,57.1%,42.9%,48
Austria - Bundesliga,Salzburg,7,28.6%,71.4%,63
Austria - Bundesliga,Sturm Graz,3,66.7%,33.3%,26
Austria - Bundesliga,Rapid Wien,3,33.3%,66.7%,48
Austria - Bundesliga,Hartberg,3,100.0%,0.0%,35
Austria - Bundesliga,Altach,3,0.0%,100.0%,74
Austria - Bundesliga,Wolfsberger AC,2,100.0%,0.0%,14
Austria - Bundesliga,Ried,2,50.0%,50.0%,42
Austria - Bundesliga,Grazer AK,2,50.0%,50.0%,38
Austria - Bundesliga,Austria Wien,2,50.0%,50.0%,64
Austria - Bundesliga,LASK Linz,1,0.0%,100.0%,50
Austria - 2. Liga,St. Polten,8,37.5%,62.5%,48
Austria - 2. Liga,Floridsdorfer,5,80.0%,20.0%,35
Austria - 2. Liga,First Vienna,5,80.0%,20.0%,34
Austria - 2. Liga,A. Lustenau,5,60.0%,40.0%,38
Austria - 2. Liga,Sturm Graz B,4,100.0%,0.0%,33
Austria - 2. Liga,Stripfing,4,50.0%,50.0%,40
Austria - 2. Liga,Austria Wien B,4,75.0%,25.0%,20
Austria - 2. Liga,Amstetten,4,50.0%,50.0%,57
Austria - 2. Liga,Admira Wacker,4,0.0%,100.0%,79
Austria - 2. Liga,A. Klagenfurt,4,50.0%,50.0%,40
Austria - 2. Liga,Bregenz,3,0.0%,100.0%,72
Austria - 2. Liga,Rapid Wien B,2,50.0%,50.0%,36
Austria - 2. Liga,Liefering,1,100.0%,0.0%,40
Austria - 2. Liga,Austria Salzbur,1,0.0%,100.0%,56
Belgium - First Division A,Royale Union SG,9,33.3%,66.7%,45
Belgium - First Division A,Anderlecht,9,33.3%,66.7%,55
Belgium - First Division A,Sint-Truiden,6,33.3%,66.7%,60
Belgium - First Division A,Zulte-Waregem,5,40.0%,60.0%,62
Belgium - First Division A,Westerlo,5,40.0%,60.0%,40
Belgium - First Division A,Standard Liege,5,60.0%,40.0%,40
Belgium - First Division A,Club Brugge,5,0.0%,100.0%,67
Belgium - First Division A,Antwerp,5,60.0%,40.0%,53
Belgium - First Division A,KV Mechelen,4,50.0%,50.0%,40
Belgium - First Division A,Gent,4,0.0%,100.0%,85
Belgium - First Division A,OH Leuven,3,33.3%,66.7%,56
Belgium - First Division A,KRC Genk,3,66.7%,33.3%,36
Belgium - First Division A,Charleroi,3,33.3%,66.7%,74
Belgium - First Division A,La Louviere,1,100.0%,0.0%,16
Belgium - First Division A,Dender,1,0.0%,100.0%,85
Bolivia - Primera Div. - Apertura,Always Ready,50,42.0%,58.0%,50
Bolivia - Primera Div. - Apertura,The Strongest,49,40.8%,59.2%,53
Bolivia - Primera Div. - Apertura,Bolivar,41,41.5%,58.5%,55
Bolivia - Primera Div. - Apertura,Blooming,34,47.1%,52.9%,49
Bolivia - Primera Div. - Apertura,Guabira,31,45.2%,54.8%,48
Bolivia - Primera Div. - Apertura,SA Bulo Bulo,27,33.3%,66.7%,57
Bolivia - Primera Div. - Apertura,GV San Jose,26,61.5%,38.5%,44
Bolivia - Primera Div. - Apertura,Oriente P.,26,42.3%,57.7%,52
Bolivia - Primera Div. - Apertura,Aurora,26,42.3%,57.7%,55
Bolivia - Primera Div. - Apertura,Real Oruro,25,56.0%,44.0%,48
Bolivia - Primera Div. - Apertura,U. de Vinto,22,45.5%,54.5%,54
Bolivia - Primera Div. - Apertura,Nacional Potosi,20,50.0%,50.0%,54
Bolivia - Primera Div. - Apertura,I. Petrolero,19,31.6%,68.4%,54
Bolivia - Primera Div. - Apertura,ABB,18,33.3%,66.7%,56
Bolivia - Primera Div. - Apertura,Real Tomayapo,17,52.9%,47.1%,46
Bolivia - Primera Div. - Apertura,Wilstermann,11,27.3%,72.7%,63
Brazil - Serie A,Flamengo,33,36.4%,63.6%,54
Brazil - Serie A,Cruzeiro,31,64.5%,35.5%,41
Brazil - Serie A,Mirassol,28,39.3%,60.7%,52
Brazil - Serie A,Bahia,23,43.5%,56.5%,57
Brazil - Serie A,Palmeiras,23,30.4%,69.6%,58
Brazil - Serie A,Botafogo,23,39.1%,60.9%,55
Brazil - Serie A,Sao Paulo,22,50.0%,50.0%,51
Brazil - Serie A,Bragantino,22,50.0%,50.0%,50
Brazil - Serie A,Fluminense,21,33.3%,66.7%,60
Brazil - Serie A,Internacional,21,52.4%,47.6%,49
Brazil - Serie A,Santos,20,45.0%,55.0%,58
Brazil - Serie A,Vasco da Gama,19,47.4%,52.6%,50
Brazil - Serie A,Atletico MG,19,26.3%,73.7%,64
Brazil - Serie A,Ceara,18,44.4%,55.6%,47
Brazil - Serie A,Corinthians,18,27.8%,72.2%,63
Brazil - Serie A,Fortaleza,18,50.0%,50.0%,42
Brazil - Serie A,Vitoria,16,25.0%,75.0%,58
Brazil - Serie A,Gremio,16,62.5%,37.5%,46
Brazil - Serie A,Juventude,13,61.5%,38.5%,40
Brazil - Serie A,Sport Recife,10,50.0%,50.0%,47
Brazil - Serie B,Avai,29,58.6%,41.4%,47
Brazil - Serie B,Goias,28,46.4%,53.6%,54
Brazil - Serie B,Chapecoense,28,53.6%,46.4%,44
Brazil - Serie B,Criciuma,27,51.9%,48.1%,45
Brazil - Serie B,Athletico PR,27,48.1%,51.9%,49
Brazil - Serie B,Novorizontino,24,45.8%,54.2%,50
Brazil - Serie B,Cuiaba,24,37.5%,62.5%,52
Brazil - Serie B,Athletic Club,23,60.9%,39.1%,42
Brazil - Serie B,Remo,23,56.5%,43.5%,48
Brazil - Serie B,Operario PR,23,47.8%,52.2%,47
Brazil - Serie B,CRB,22,45.5%,54.5%,45
Brazil - Serie B,Ferroviaria,22,50.0%,50.0%,50
Brazil - Serie B,Coritiba,22,54.5%,45.5%,47
Brazil - Serie B,Amazonas,21,42.9%,57.1%,44
Brazil - Serie B,Atletico GO,21,52.4%,47.6%,51
Brazil - Serie B,America MG,21,47.6%,52.4%,51
Brazil - Serie B,Vila Nova,20,50.0%,50.0%,48
Brazil - Serie B,Paysandu,19,47.4%,52.6%,53
Brazil - Serie B,Volta Redonda,14,21.4%,78.6%,65
Brazil - Serie B,Botafogo SP,14,42.9%,57.1%,46
Brazil - Serie C,Caxias,26,53.8%,46.2%,51
Brazil - Serie C,Londrina,24,50.0%,50.0%,44
Brazil - Serie C,Nautico,20,55.0%,45.0%,46
Brazil - Serie C,Maringa,20,35.0%,65.0%,60
Brazil - Serie C,Botafogo PB,19,52.6%,47.4%,46
Brazil - Serie C,Confianca,19,47.4%,52.6%,53
Brazil - Serie C,Sao Bernardo,18,38.9%,61.1%,51
Brazil - Serie C,CSA,18,55.6%,44.4%,50
