League_Name,Team,Scored,1st half,2nd half,Avg. minute
Argentina - Liga Profesional,Racing Club,26,38.5%,61.5%,55
Argentina - Liga Profesional,Argentinos Jrs,24,54.2%,45.8%,41
Argentina - Liga Profesional,Boca Juniors,24,45.8%,54.2%,48
Argentina - Liga Profesional,Independiente,23,52.2%,47.8%,46
Argentina - Liga Profesional,Rosario Central,22,50.0%,50.0%,44
Argentina - Liga Profesional,Central Cordoba,21,28.6%,71.4%,63
Argentina - Liga Profesional,River Plate,21,38.1%,61.9%,57
Argentina - Liga Profesional,Barracas C.,20,45.0%,55.0%,54
Argentina - Liga Profesional,I. Rivadavia,20,35.0%,65.0%,58
Argentina - Liga Profesional,Huracan,19,42.1%,57.9%,50
Argentina - Liga Profesional,Estudiantes,18,38.9%,61.1%,54
Argentina - Liga Profesional,Aldosivi,18,38.9%,61.1%,54
Argentina - Liga Profesional,Tigre,18,50.0%,50.0%,44
Argentina - Liga Profesional,Defensa y J.,18,38.9%,61.1%,51
Argentina - Liga Profesional,A. Tucuman,17,58.8%,41.2%,46
Argentina - Liga Profesional,Instituto,16,31.3%,68.8%,60
Argentina - Liga Profesional,San Lorenzo,14,28.6%,71.4%,64
Argentina - Liga Profesional,Banfield,14,50.0%,50.0%,46
Argentina - Liga Profesional,D. Riestra,13,38.5%,61.5%,55
Argentina - Liga Profesional,Platense,13,46.2%,53.8%,46
Argentina - Liga Profesional,Lanus,13,38.5%,61.5%,55
Argentina - Liga Profesional,Belgrano,13,53.8%,46.2%,42
Argentina - Liga Profesional,Newells,12,75.0%,25.0%,40
Argentina - Liga Profesional,Union Santa Fe,11,45.5%,54.5%,60
Argentina - Liga Profesional,T. de Cordoba,11,54.5%,45.5%,41
Argentina - Liga Profesional,Sarmiento,11,36.4%,63.6%,58
Argentina - Liga Profesional,Gimnasia,9,55.6%,44.4%,50
Argentina - Liga Profesional,Godoy Cruz,8,75.0%,25.0%,43
Argentina - Liga Profesional,Velez Sarsfield,7,42.9%,57.1%,49
Argentina - Liga Profesional,SM San Juan,5,40.0%,60.0%,49
Argentina - Primera Nacional,Chacarita J.,26,30.8%,69.2%,59
Argentina - Primera Nacional,Racing Cordoba,23,52.2%,47.8%,42
Argentina - Primera Nacional,Deportivo Moron,22,50.0%,50.0%,49
Argentina - Primera Nacional,Patronato,21,47.6%,52.4%,52
Argentina - Primera Nacional,Agropecuario,20,25.0%,75.0%,53
Argentina - Primera Nacional,Gimnasia Jujuy,20,50.0%,50.0%,48
Argentina - Primera Nacional,San Telmo,19,21.1%,78.9%,68
Argentina - Primera Nacional,Chaco For Ever,19,42.1%,57.9%,53
Argentina - Primera Nacional,G. Mendoza,19,47.4%,52.6%,45
Argentina - Primera Nacional,D. Madryn,18,55.6%,44.4%,48
Argentina - Primera Nacional,CA Estudiantes,18,38.9%,61.1%,53
Argentina - Primera Nacional,San Miguel,18,33.3%,66.7%,57
Argentina - Primera Nacional,E. Rio Cuarto,18,50.0%,50.0%,47
Argentina - Primera Nacional,Atlanta,17,17.6%,82.4%,62
Argentina - Primera Nacional,Deportivo Maipu,17,47.1%,52.9%,50
Argentina - Primera Nacional,SM Tucuman,17,47.1%,52.9%,49
Argentina - Primera Nacional,Los Andes,17,23.5%,76.5%,64
Argentina - Primera Nacional,Quilmes,17,35.3%,64.7%,58
Argentina - Primera Nacional,Gimnasia y Tiro,16,50.0%,50.0%,43
Argentina - Primera Nacional,Tristan Suarez,16,50.0%,50.0%,53
Argentina - Primera Nacional,Nueva Chicago,16,43.8%,56.3%,50
Argentina - Primera Nacional,Almagro,16,50.0%,50.0%,42
Argentina - Primera Nacional,Temperley,16,50.0%,50.0%,52
Argentina - Primera Nacional,Colon Santa Fe,15,40.0%,60.0%,54
Argentina - Primera Nacional,All Boys,15,33.3%,66.7%,47
Argentina - Primera Nacional,D. de Belgrano,14,50.0%,50.0%,46
Argentina - Primera Nacional,Almirante Brown,13,53.8%,46.2%,47
Argentina - Primera Nacional,Atletico Mitre,13,23.1%,76.9%,65
Argentina - Primera Nacional,Central Norte,13,46.2%,53.8%,53
Argentina - Primera Nacional,CA Guemes,13,46.2%,53.8%,50
Argentina - Primera Nacional,Ferro Carril,12,41.7%,58.3%,47
Argentina - Primera Nacional,Arsenal Sarandi,11,54.5%,45.5%,43
Argentina - Primera Nacional,Alvarado,11,36.4%,63.6%,48
Argentina - Primera Nacional,Defensores U.,7,42.9%,57.1%,58
Argentina - Primera Nacional,Colegiales,6,100.0%,0.0%,24
Argentina - Primera Nacional,T. Remedios,4,25.0%,75.0%,58
Argentina - Primera B,Dock Sud,29,51.7%,48.3%,47
Argentina - Primera B,Liniers,27,29.6%,70.4%,60
Argentina - Primera B,Real Pilar,27,37.0%,63.0%,55
Argentina - Primera B,Argentino Merlo,25,24.0%,76.0%,60
Argentina - Primera B,Acassuso,25,52.0%,48.0%,44
Argentina - Primera B,Midland,24,37.5%,62.5%,54
Argentina - Primera B,V. San Carlos,24,54.2%,45.8%,44
Argentina - Primera B,Excursionistas,21,57.1%,42.9%,44
Argentina - Primera B,A. Quilmes,21,38.1%,61.9%,54
Argentina - Primera B,D. Laferrere,21,38.1%,61.9%,55
Argentina - Primera B,Villa Dalmine,20,50.0%,50.0%,46
Argentina - Primera B,SM Burzaco,19,57.9%,42.1%,47
Argentina - Primera B,Comunicaciones,19,47.4%,52.6%,48
Argentina - Primera B,Brown de A.,18,33.3%,66.7%,61
Argentina - Primera B,D. Armenio,17,41.2%,58.8%,49
Argentina - Primera B,UAI Urquiza,16,25.0%,75.0%,53
Argentina - Primera B,Deportivo Merlo,16,37.5%,62.5%,52
Argentina - Primera B,S. Italiano,15,33.3%,66.7%,62
Argentina - Primera B,Sacachispas,13,46.2%,53.8%,51
Argentina - Primera B,Flandria,12,25.0%,75.0%,55
Argentina - Primera B,Fenix,8,50.0%,50.0%,44
Australia - A-League,WS Wanderers,58,48.3%,51.7%,47
Australia - A-League,Western United,55,47.3%,52.7%,48
Australia - A-League,Sydney FC,53,34.0%,66.0%,57
Australia - A-League,Adelaide Utd,53,49.1%,50.9%,45
Australia - A-League,Macarthur FC,50,46.0%,54.0%,48
Australia - A-League,Auckland,49,44.9%,55.1%,56
Australia - A-League,Melbourne V.,44,50.0%,50.0%,47
Australia - A-League,Newcastle Jets,43,37.2%,62.8%,51
Australia - A-League,Melbourne City,41,48.8%,51.2%,47
Australia - A-League,Brisbane Roar,32,53.1%,46.9%,44
Australia - A-League,Central Coast,29,41.4%,58.6%,50
Australia - A-League,Wellington,27,48.1%,51.9%,48
Australia - A-League,Perth Glory,22,50.0%,50.0%,45
Bolivia - Primera Div. - Apertura,Always Ready,49,40.8%,59.2%,51
Bolivia - Primera Div. - Apertura,The Strongest,44,43.2%,56.8%,52
Bolivia - Primera Div. - Apertura,Bolivar,34,41.2%,58.8%,55
Bolivia - Primera Div. - Apertura,Blooming,31,41.9%,58.1%,51
Bolivia - Primera Div. - Apertura,Aurora,26,42.3%,57.7%,55
Bolivia - Primera Div. - Apertura,Guabira,26,46.2%,53.8%,48
Bolivia - Primera Div. - Apertura,GV San Jose,23,60.9%,39.1%,44
Bolivia - Primera Div. - Apertura,SA Bulo Bulo,23,30.4%,69.6%,60
Bolivia - Primera Div. - Apertura,Oriente P.,21,47.6%,52.4%,50
Bolivia - Primera Div. - Apertura,U. de Vinto,20,50.0%,50.0%,52
Bolivia - Primera Div. - Apertura,Real Oruro,20,65.0%,35.0%,45
Bolivia - Primera Div. - Apertura,I. Petrolero,18,27.8%,72.2%,55
Bolivia - Primera Div. - Apertura,ABB,17,35.3%,64.7%,55
Bolivia - Primera Div. - Apertura,Nacional Potosi,16,50.0%,50.0%,56
Bolivia - Primera Div. - Apertura,Real Tomayapo,15,46.7%,53.3%,50
Bolivia - Primera Div. - Apertura,Wilstermann,11,27.3%,72.7%,63
Brazil - Serie A,Flamengo,29,34.5%,65.5%,54
Brazil - Serie A,Cruzeiro,27,59.3%,40.7%,43
Brazil - Serie A,Mirassol,23,43.5%,56.5%,52
Brazil - Serie A,Bragantino,19,52.6%,47.4%,49
Brazil - Serie A,Palmeiras,18,33.3%,66.7%,57
Brazil - Serie A,Bahia,17,41.2%,58.8%,59
Brazil - Serie A,Botafogo,17,35.3%,64.7%,58
Brazil - Serie A,Fluminense,16,31.3%,68.8%,63
Brazil - Serie A,Internacional,16,56.3%,43.8%,48
Brazil - Serie A,Atletico MG,16,18.8%,81.3%,70
Brazil - Serie A,Vasco da Gama,15,46.7%,53.3%,51
Brazil - Serie A,Sao Paulo,15,53.3%,46.7%,49
Brazil - Serie A,Corinthians,15,33.3%,66.7%,58
Brazil - Serie A,Ceara,14,50.0%,50.0%,45
Brazil - Serie A,Gremio,14,57.1%,42.9%,50
Brazil - Serie A,Vitoria,13,15.4%,84.6%,63
Brazil - Serie A,Santos,13,53.8%,46.2%,52
Brazil - Serie A,Fortaleza,13,38.5%,61.5%,50
Brazil - Serie A,Juventude,10,60.0%,40.0%,36
Brazil - Serie A,Sport Recife,7,57.1%,42.9%,50
Brazil - Serie B,Chapecoense,25,48.0%,52.0%,46
Brazil - Serie B,Novorizontino,23,43.5%,56.5%,51
Brazil - Serie B,Goias,23,43.5%,56.5%,56
Brazil - Serie B,Criciuma,22,54.5%,45.5%,44
Brazil - Serie B,Athletico PR,22,45.5%,54.5%,49
Brazil - Serie B,Cuiaba,22,36.4%,63.6%,53
Brazil - Serie B,Athletic Club,21,57.1%,42.9%,45
Brazil - Serie B,Remo,21,52.4%,47.6%,52
Brazil - Serie B,Operario PR,21,47.6%,52.4%,45
Brazil - Serie B,Avai,21,47.6%,52.4%,52
Brazil - Serie B,Coritiba,19,47.4%,52.6%,49
Brazil - Serie B,Ferroviaria,18,50.0%,50.0%,51
Brazil - Serie B,Atletico GO,18,55.6%,44.4%,51
Brazil - Serie B,America MG,18,50.0%,50.0%,49
Brazil - Serie B,Amazonas,17,47.1%,52.9%,42
Brazil - Serie B,Paysandu,17,47.1%,52.9%,53
Brazil - Serie B,Vila Nova,17,52.9%,47.1%,47
Brazil - Serie B,CRB,16,56.3%,43.8%,40
Brazil - Serie B,Volta Redonda,12,16.7%,83.3%,69
Brazil - Serie B,Botafogo SP,12,41.7%,58.3%,47
Brazil - Serie C,Caxias,22,54.5%,45.5%,50
Brazil - Serie C,Londrina,21,47.6%,52.4%,45
Brazil - Serie C,Maringa,17,35.3%,64.7%,60
Brazil - Serie C,Botafogo PB,15,46.7%,53.3%,51
Brazil - Serie C,CSA,15,53.3%,46.7%,51
Brazil - Serie C,Figueirense,15,53.3%,46.7%,49
Brazil - Serie C,ABC,15,26.7%,73.3%,65
Brazil - Serie C,Confianca,14,42.9%,57.1%,53
Brazil - Serie C,Sao Bernardo,14,50.0%,50.0%,45
Brazil - Serie C,Nautico,14,64.3%,35.7%,43
Brazil - Serie C,Ponte Preta,13,23.1%,76.9%,64
Brazil - Serie C,Brusque,12,50.0%,50.0%,46
Brazil - Serie C,Ituano,12,41.7%,58.3%,60
Brazil - Serie C,Ypiranga,12,58.3%,41.7%,47
Brazil - Serie C,Tombense,11,72.7%,27.3%,33
Brazil - Serie C,Guarani,10,70.0%,30.0%,40
Brazil - Serie C,Floresta,10,40.0%,60.0%,46
Brazil - Serie C,Anapolis,9,55.6%,44.4%,46
Brazil - Serie C,Itabaiana,9,33.3%,66.7%,56
Brazil - Serie C,Retro,6,33.3%,66.7%,50
Brazil - Serie D,Manauara,21,42.9%,57.1%,48
Brazil - Serie D,ASA,20,40.0%,60.0%,56
Brazil - Serie D,Goiatuba EC,18,55.6%,44.4%,54
Brazil - Serie D,Mixto,18,50.0%,50.0%,51
Brazil - Serie D,Aparecidense,18,55.6%,44.4%,48
Brazil - Serie D,America RN,17,41.2%,58.8%,57
Brazil - Serie D,Barra FC,16,43.8%,56.3%,51
Brazil - Serie D,Santa Cruz,16,62.5%,37.5%,41
Brazil - Serie D,Tuna Luso,16,43.8%,56.3%,55
Brazil - Serie D,Altos,15,53.3%,46.7%,52
Brazil - Serie D,EC Sao Jose,15,53.3%,46.7%,40
Brazil - Serie D,Ceilandia,14,42.9%,57.1%,51
Brazil - Serie D,Uberlandia,14,50.0%,50.0%,50
Brazil - Serie D,Jequie,14,35.7%,64.3%,56
Brazil - Serie D,Inter Limeira,14,50.0%,50.0%,41
Brazil - Serie D,Portuguesa,14,50.0%,50.0%,52
Brazil - Serie D,Aguia de Maraba,14,57.1%,42.9%,52
Brazil - Serie D,Cianorte,14,57.1%,42.9%,44
Brazil - Serie D,Trem,14,71.4%,28.6%,36
Brazil - Serie D,Maranhao,13,38.5%,61.5%,52
Brazil - Serie D,Agua Santa,13,38.5%,61.5%,60
Brazil - Serie D,Manaus,13,30.8%,69.2%,58
Brazil - Serie D,GAS,12,50.0%,50.0%,53
Brazil - Serie D,Lagarto,12,58.3%,41.7%,43
Brazil - Serie D,Marcilio Dias,12,25.0%,75.0%,56
Brazil - Serie D,Ferroviario,12,33.3%,66.7%,51
Brazil - Serie D,Central,12,41.7%,58.3%,52
Brazil - Serie D,Independencia,11,9.1%,90.9%,67
Brazil - Serie D,Iguatu,11,54.5%,45.5%,48
Brazil - Serie D,Luverdense,10,20.0%,80.0%,60
Brazil - Serie D,Cascavel,10,40.0%,60.0%,50
Brazil - Serie D,Rio Branco ES,10,50.0%,50.0%,52
Brazil - Serie D,Sergipe,10,30.0%,70.0%,53
Brazil - Serie D,Boavista,9,55.6%,44.4%,54
Brazil - Serie D,Imperatriz,9,55.6%,44.4%,41
Brazil - Serie D,CFRJ . Marica,9,66.7%,33.3%,31
Brazil - Serie D,Sampaio Correa,9,66.7%,33.3%,36
Brazil - Serie D,Joinville,9,0.0%,100.0%,75
